id;date;ville;produit;quantite;prix_unitaire;total
1;2026-06-05;Lille;Clavier;4.0;165.22;660.88
2;2026-06-19;Lille;Clavier;1.0;227.33;227.33
3;2026-02-14;Lille;Casque;4.0;25.77;103.08
4;2026-01-27;Lille;Clavier;5.0;38.71;193.55
5;2026-10-19;Lille;Clavier;4.0;20.9;83.6
6;2026-09-28;Lille;Clavier;2.0;78.51;157.02
7;2026-10-10;Lille;Clavier;5.0;204.87;1024.35
8;2026-10-19;Lille;Clavier;6.0;54.09;324.54
9;2026-10-02;Douai;Casque;5.0;58.43;292.15
10;2026-06-15;Valenciennes;Écran;5.0;230.63;1153.15
11;2026-04-26;Lille;Clavier;2.0;176.76;353.52
12;2026-10-10;Valenciennes;Casque;5.0;127.83;639.15
13;2026-05-20;Valenciennes;Souris;1.0;37.34;37.34
14;2026-06-05;Douai;Clavier;4.0;110.21;440.84
15;2026-09-19;Valenciennes;Casque;3.0;90.63;271.89
16;2026-10-26;Lille;Écran;4.0;25.5;102.0
17;2026-08-23;Douai;Écran;6.0;24.6;147.60000000000002
18;2026-11-19;Valenciennes;Casque;6.0;206.26;1237.56
19;2026-11-12;Valenciennes;Souris;1.0;234.76;234.76
20;2026-10-04;Inconnue;Écran;4.0;23.15;92.6
21;2026-03-24;Inconnue;Casque;2.0;104.5;209.0
22;2026-02-06;Valenciennes;Souris;5.0;105.39;526.95
23;2026-07-28;Valenciennes;Écran;5.0;75.82;379.09999999999997
24;2026-11-13;Lille;Souris;2.0;45.22;90.44
25;2026-04-22;Inconnue;Souris;2.0;11.9;23.8
26;2026-05-10;Arras;Écran;1.0;43.96;43.96
27;2026-10-19;Douai;Clavier;3.0;237.74;713.22
28;2026-08-28;Valenciennes;Casque;6.0;200.49;1202.94
29;2026-07-13;Valenciennes;Clavier;1.0;124.57;124.57
30;2026-04-03;Lille;Écran;2.0;114.75;229.5
31;2026-10-02;Lille;Clavier;1.0;9.06;9.06
32;2026-06-20;Lille;Casque;1.0;25.88;25.88
33;2026-03-21;Arras;Écran;3.0;238.31;714.9300000000001
34;2026-08-04;Valenciennes;Casque;1.0;212.74;212.74
35;2026-08-10;Douai;Écran;1.0;43.59;43.59
36;2026-05-16;Lille;Souris;6.0;47.75;286.5
37;2026-09-12;Lille;Écran;2.0;174.62;349.24
38;2026-11-28;Valenciennes;Écran;1.0;176.09;176.09
39;2026-03-12;Inconnue;Écran;2.0;136.82;273.64
40;2026-11-08;Inconnue;Souris;5.0;203.76;1018.8
41;2026-04-27;Lille;Souris;4.0;186.57;746.28
42;2026-09-16;Lille;Écran;3.0;184.44;553.3199999999999
43;2026-08-09;Valenciennes;Casque;2.0;175.21;350.42
44;2026-06-12;Lille;Casque;1.0;61.91;61.91
45;2026-04-11;Arras;Clavier;2.0;124.84;249.68
46;2026-08-21;Lille;Clavier;3.0;200.91;602.73
47;2026-07-26;Valenciennes;Souris;6.0;189.03;1134.18
48;2026-07-26;Inconnue;Casque;6.0;88.8;532.8
49;2026-08-13;Douai;Souris;6.0;236.23;1417.3799999999999
50;2026-03-05;Valenciennes;Souris;1.0;45.28;45.28
51;2026-10-27;Douai;Écran;5.0;244.27;1221.3500000000001
52;2026-03-18;Lille;Clavier;5.0;40.44;202.2
53;2026-09-24;Inconnue;Souris;2.0;113.11;226.22
54;2026-04-01;Arras;Souris;3.0;60.07;180.21
55;2026-10-11;Inconnue;Souris;3.0;139.64;418.91999999999996
56;2026-01-24;Douai;Casque;3.0;224.45;673.3499999999999
57;2026-09-05;Arras;Clavier;5.0;45.44;227.2
58;2026-08-25;Inconnue;Souris;2.0;155.05;310.1
59;2026-03-05;Lille;Clavier;4.0;157.58;630.32
60;2026-06-22;Valenciennes;Clavier;5.0;136.37;681.85
61;2026-09-02;Lille;Clavier;2.0;54.91;109.82
62;2026-09-15;Lille;Casque;5.0;15.69;78.45
63;2026-06-20;Lille;Écran;5.0;154.47;772.35
64;2026-08-17;Arras;Souris;5.0;202.77;1013.85
65;2026-09-09;Lille;Casque;5.0;223.26;1116.3
66;2026-03-14;Valenciennes;Clavier;1.0;103.17;103.17
67;2026-11-08;Douai;Écran;4.0;26.55;106.2
68;2026-02-25;Douai;Écran;2.0;234.48;468.96
69;2026-03-09;Lille;Clavier;2.0;241.21;482.42
70;2026-07-16;Inconnue;Souris;2.0;246.57;493.14
71;2026-03-23;Valenciennes;Écran;4.0;247.58;990.32
72;2026-07-07;Douai;Écran;3.0;85.45;256.35
73;2026-01-11;Douai;Clavier;5.0;119.08;595.4
74;2026-07-11;Arras;Clavier;5.0;158.74;793.7
75;2026-02-26;Lille;Clavier;2.0;242.21;484.42
76;2026-05-09;Lille;Écran;1.0;226.42;226.42
77;2026-03-27;Douai;Écran;5.0;212.9;1064.5
78;2026-07-05;Arras;Casque;5.0;229.6;1148.0
79;2026-06-03;Douai;Souris;3.0;22.81;68.42999999999999
80;2026-07-03;Douai;Clavier;3.0;234.2;702.5999999999999
81;2026-05-03;Lille;Écran;5.0;214.49;1072.45
82;2026-02-15;Arras;Casque;1.0;90.4;90.4
83;2026-05-20;Douai;Souris;2.0;19.37;38.74
84;2026-02-06;Lille;Écran;3.0;21.09;63.269999999999996
85;2026-11-10;Valenciennes;Casque;5.0;191.28;956.4
86;2026-09-22;Inconnue;Clavier;2.0;73.93;147.86
87;2026-05-02;Arras;Souris;1.0;13.42;13.42
88;2026-09-16;Lille;Casque;2.0;233.31;466.62
89;2026-11-16;Valenciennes;Écran;5.0;209.31;1046.55
90;2026-04-08;Douai;Souris;3.0;56.67;170.01
91;2026-07-12;Lille;Clavier;1.0;209.88;209.88
92;2026-11-24;Lille;Clavier;3.0;112.38;337.14
93;2026-11-27;Douai;Écran;4.0;217.93;871.72
94;2026-10-08;Valenciennes;Souris;6.0;79.33;475.98
95;2026-03-09;Valenciennes;Écran;4.0;9.87;39.48
96;2026-09-11;Valenciennes;Souris;2.0;17.27;34.54
97;2026-06-06;Lille;Casque;1.0;89.48;89.48
98;2026-05-17;Arras;Clavier;6.0;57.24;343.44
99;2026-02-09;Arras;Clavier;1.0;43.53;43.53
100;2026-07-01;Lille;Clavier;3.0;82.02;246.06
101;2026-10-17;Douai;Casque;2.0;166.81;333.62
102;2026-06-24;Douai;Souris;4.0;44.87;179.48
103;2026-01-27;Douai;Casque;6.0;223.07;1338.42
104;2026-09-05;Arras;Clavier;5.0;189.69;948.45
105;2026-11-19;Douai;Souris;6.0;172.89;1037.34
106;2026-02-01;Valenciennes;Clavier;1.0;40.94;40.94
107;2026-07-27;Douai;Clavier;4.0;143.05;572.2
108;2026-11-18;Valenciennes;Clavier;6.0;67.69;406.14
109;2026-08-26;Arras;Clavier;1.0;188.58;188.58
110;2026-11-17;Valenciennes;Écran;1.0;187.97;187.97
